REGON;;NSK;s_osoba_us;s_typ;s_nrj;s_ad1;s_ad2;s_pkd;s_lps;s_waga;s_a4;s_a5a;s_a5b;s_a5d;s_a5e;s_a5f;s_a5g;s_a5h;s_a6;s_a7a;s_a7b;s_a7c;w_a4_1;w_request;w_a5a;w_a5b;w_a5d;w_a5e;w_a5f;w_a5g;w_a5h;w_a6;w_a7a;w_a7b;w_a7c
00036889800000;;"SP”£DZIELNIA HANDLOWO-PRODUKCYJNA ""AGRO"" W DYWITACH                     ";Aneta Witkowska                                   ;ZT;16534  ;ul. OlsztyÒska 34                                             ;Dywity                       ;4711 ;59;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.agro.internetdsl.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00058967100000;;"SP”£DZIELNIA ROLNIK”W INDYWIDUALNYCH ""ROLNIK""                           ";Mirela ZieliÒska                                  ;ZT;1477   ;ul. Przemys≥owa 2                                             ;SÍpÛlno KrajeÒskie           ;1011 ;60;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.srirolnik.com.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00037358600000;;"GMINNA SP”£DZIELNIA ""SAMOPOMOC CH£OPSKA"" W JAROCINIE                    ";Magdalena Adamczyk                                ;ZT;17160  ;ul. PoznaÒska 2                                               ;Jarocin                      ;4711 ;90;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.gsjarocin.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
00036921900000;;"GMINNA SP”£DZIELNIA ""SAMOPOMOC CH£OPSKA"" W PAS£ KU                      ";Aneta Witkowska                                   ;ZT;16536  ;ul. W≥adys≥awa Jagie≥≥y 24                                    ;Pas≥Ík                       ;4711 ;20;0;2;0;0;0;0;0;0;0;2;2;1;2;https://www.infobiuro.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00038103100000;;"GMINNA SP”£DZIELNIA ""SAMOPOMOC CH£OPSKA"" W KAMIENIU                     ";Eløbieta Zborowska                                ;ZT;11027  ;KamieÒ 299                                                    ;KamieÒ                       ;4711 ;42;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gskamien.pl;21.0;;;;;;;;;;;
00037667900000;;"GMINNA SP”£DZIELNIA ""SAMOPOMOC CH£OPSKA""                                ";Magdalena Adamczyk                                ;ZT;17165  ;ul. Adama Mickiewicza 1                                       ;S≥upca                       ;4711 ;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.selcom.pl;1.0;1;2;2;2;2;2;2;2;1;2;2
00048519600000;;SP”£DZIELNIA MIESZKANIOWA W PRZYSUSZE                                   ;Jaros≥aw £ubiÒski                                 ;ZT;6784   ;ul. Skowyry 36                                                ;Przysucha                    ;6832 ;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.smprzysucha.pl;21.0;;;;;;;;;;;
00098352800000;;"""SPO£EM"" POWSZECHNA SP”£DZIELNIA SPOØYWC”W W PUCKU                      ";Nina RumiÒska                                     ;ZT;12550  ;ul. Kolejowa 7                                                ;Puck                         ;4711 ;33;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.spolempuck.pl;1.0;1;2;2;2;2;1;2;2;1;2;2
00109619500000;;SPO£EM POWSZECHNA SP”£DZIELNIA SPOØYWC”W ZGODA W KRAKOWIE               ;RÛøa Ka≥doÒska                                    ;ZT;5032   ;ul. Mazowiecka 4-6                                            ;KrakÛw                       ;4711 ;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.psszgoda.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
00241206600000;;"""EXPO"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                          ";Eløbieta BurliÒska                                ;ZT;13857  ;ul. Stefanii Sempo≥owskiej 16A                                ;Bielsko-Bia≥a                ;1411 ;21;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.expo.bielsko.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
